survived,pclass,age,sibsp,parch,fare,sex_encoded,emb_C,emb_Q,emb_S
0,3,0.33513219707264047,0.125,0.0,0.11046036834342966,1,False,False,True
1,1,0.5836083394805296,0.125,0.0,1.0,0,True,False,False
1,3,0.3972512326746127,0.0,0.0,0.12074460953402483,0,False,False,True
1,1,0.5370190627790503,0.125,0.0,0.8090269736601539,0,False,False,True
0,3,0.5370190627790503,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,,0.0,0.0,0.12886992187023877,1,False,True,False
0,1,0.8320844818884187,0.0,0.0,0.790172531477396,1,False,False,True
0,3,0.024537019062779053,0.375,0.16666666666666666,0.32109686383969377,1,False,False,True
1,3,0.4127809915751058,0.0,0.3333333333333333,0.1696259888107456,0,False,False,True
1,2,0.21089412586869588,0.125,0.0,0.4581560888802213,0,True,False,False
1,3,0.05559653686376519,0.125,0.16666666666666666,0.2544397450117621,0,False,False,True
1,1,0.894203517490391,0.0,0.0,0.40451348683007693,0,False,False,True
0,3,0.3040726792716543,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.5991380983810226,0.125,0.8333333333333333,0.4765031751642431,1,False,False,True
0,3,0.21089412586869588,0.0,0.0,0.11966590690247796,0,False,False,True
1,2,0.8476142407889118,0.0,0.0,0.24377460599929304,0,False,False,True
0,3,0.024537019062779053,0.5,0.16666666666666666,0.4437459624830881,1,False,True,False
1,2,,0.0,0.0,0.1980668673744256,1,False,False,True
0,3,0.4749000271770781,0.125,0.0,0.27424643174920466,0,False,False,True
1,3,,0.0,0.0,0.11007947052155576,0,True,False,False
0,2,0.5370190627790503,0.0,0.0,0.3961337347488512,1,False,False,True
1,2,0.5214893038785573,0.0,0.0,0.1980668673744256,1,False,False,True
1,3,0.22642388476918895,0.0,0.0,0.12233219165559522,0,False,True,False
1,1,0.42831075047559886,0.0,0.0,0.5408749070609314,1,False,False,True
0,3,0.11771557246573747,0.375,0.16666666666666666,0.32109686383969377,0,False,False,True
1,3,0.5836083394805296,0.125,0.8333333333333333,0.47821721536267564,0,False,False,True
0,3,,0.0,0.0,0.11007947052155576,1,True,False,False
0,1,0.28854292037116125,0.375,0.3333333333333333,1.0,1,False,False,True
1,3,,0.0,0.0,0.12004680472435186,0,False,True,False
0,3,,0.0,0.0,0.12029972087807612,1,False,False,True
0,1,0.6146678572815157,0.0,0.0,0.42235169362407515,1,True,False,False
1,1,,0.125,0.0,1.0,0,True,False,False
1,3,,0.0,0.0,0.11807832478090757,0,False,True,False
0,2,1.0,0.0,0.0,0.15997708518703607,1,False,False,True
0,1,0.42831075047559886,0.125,0.0,1.0,1,True,False,False
0,1,0.6457273750825019,0.125,0.0,0.7922674694977024,1,False,False,True
1,3,,0.0,0.0,0.11014346135563058,1,True,False,False
0,3,0.3196024381721474,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.2730131614706682,0.25,0.0,0.27424643174920466,0,False,False,True
1,3,0.21089412586869588,0.125,0.0,0.17127756176639078,0,True,False,False
0,3,0.6146678572815157,0.125,0.0,0.14436027449020633,0,False,False,True
0,2,0.4127809915751058,0.125,0.0,0.31995417037407214,0,False,False,True
0,3,,0.0,0.0,0.12029972087807612,1,True,False,False
1,2,0.04006677796327212,0.125,0.3333333333333333,0.6334970686103628,0,True,False,False
1,3,0.28854292037116125,0.0,0.0,0.12004680472435186,0,False,True,False
0,3,,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,,0.125,0.0,0.23615664956181515,1,False,True,False
1,3,,0.0,0.0,0.11807832478090757,0,False,True,False
0,3,,0.25,0.0,0.33030240239874215,1,True,False,False
0,3,0.2730131614706682,0.125,0.0,0.2711992491742135,0,False,False,True
0,3,0.1021858135652444,0.5,0.16666666666666666,0.6046752922248089,1,False,False,True
0,3,0.3196024381721474,0.0,0.0,0.11884012042465536,1,False,False,True
1,1,0.7544356873859533,0.125,0.0,1.0,0,True,False,False
1,2,0.44384050937609193,0.125,0.0,0.3961337347488512,0,False,False,True
0,1,1.0,0.0,0.16666666666666666,0.9443096912594614,1,True,False,False
1,1,,0.0,0.0,0.5408749070609314,1,False,False,True
1,2,0.3196024381721474,0.0,0.0,0.15997708518703607,0,False,False,True
0,3,0.4360756299258454,0.0,0.0,0.11014346135563058,1,True,False,False
1,2,0.07112629576425826,0.125,0.3333333333333333,0.42279658228002387,0,False,False,True
0,3,0.1643048491672167,0.625,0.3333333333333333,0.7145643138354277,1,False,False,True
0,3,0.33513219707264047,0.0,0.0,0.11014346135563058,1,True,False,False
1,1,0.5836083394805296,0.0,0.0,1.0,0,False,False,False
0,1,0.692316651783981,0.125,0.0,1.0,1,False,False,True
0,3,0.05559653686376519,0.375,0.3333333333333333,0.42508196921126723,1,False,False,True
0,1,,0.0,0.0,0.42235169362407515,1,True,False,False
1,3,,0.125,0.16666666666666666,0.23228368050900136,1,True,False,False
1,2,0.44384050937609193,0.0,0.0,0.15997708518703607,0,False,False,True
0,3,0.28854292037116125,0.0,0.0,0.12429914800775203,1,False,False,True
1,3,0.2574834025701751,0.5,0.3333333333333333,0.12074460953402483,0,False,False,True
0,3,0.3972512326746127,0.25,0.0,0.13198109527930474,1,False,False,True
0,2,0.49042978607757115,0.0,0.0,0.15997708518703607,1,False,False,True
0,3,0.24195364366968203,0.625,0.3333333333333333,0.7145643138354277,0,False,False,True
0,2,0.3196024381721474,0.0,0.0,1.0,1,False,False,True
0,3,0.3972512326746127,0.125,0.0,0.22022293187718633,1,True,False,False
1,3,0.49042978607757115,0.0,0.0,0.8607650866009288,1,False,False,True
0,3,0.38172147377411964,0.0,0.0,0.11655473349341199,1,False,False,True
0,3,,0.0,0.0,0.12029972087807612,1,False,False,True
0,3,,0.0,0.0,0.12264909864339432,1,False,False,True
1,2,0.006367201149202159,0.0,0.3333333333333333,0.44184147337371865,1,False,False,True
1,3,0.459370268276585,0.0,0.0,0.1900680131150738,0,False,False,True
0,3,0.33513219707264047,0.0,0.0,0.13712321587460233,1,False,False,True
1,3,0.44384050937609193,0.0,0.0,0.14474117231208025,1,False,False,True
1,3,,0.0,0.0,0.1186496715137184,0,False,True,False
0,1,0.42831075047559886,0.0,0.0,0.7176114964104189,1,False,False,True
1,2,0.2574834025701751,0.0,0.0,0.15997708518703607,0,False,False,True
1,3,0.5059595449780642,0.375,0.0,0.24148921906804965,0,False,False,True
0,3,0.24195364366968203,0.125,0.5,0.5237345050766061,1,False,False,True
0,3,,0.0,0.0,0.12264909864339432,1,False,False,True
1,1,0.35066195597313354,0.375,0.3333333333333333,1.0,0,False,False,True
0,3,0.36619171487362656,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.44384050937609193,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.3040726792716543,0.0,0.0,0.11966590690247796,1,False,False,True
0,1,0.7078464106844742,0.125,0.0,0.932056970125422,1,False,False,True
0,3,0.3972512326746127,0.125,0.3333333333333333,0.3134789074022159,1,False,False,True
0,3,0.9097332763908841,0.0,0.0,0.11046036834342966,1,False,False,True
0,3,,0.0,0.0,0.12264909864339432,1,False,False,True
0,1,1.0,0.0,0.0,0.5279883719512939,1,True,False,False
1,1,0.35066195597313354,0.0,0.16666666666666666,0.965321538705313,1,True,False,False
1,2,0.5214893038785573,0.0,0.16666666666666666,0.35042599612398373,0,False,False,True
0,2,0.5214893038785573,0.125,0.0,0.3961337347488512,1,False,False,True
0,3,0.42831075047559886,0.0,0.0,0.12029972087807612,0,False,False,True
0,3,,0.0,0.0,0.12029972087807612,1,False,False,True
0,1,0.3196024381721474,0.0,0.16666666666666666,1.0,1,False,False,True
0,3,0.5059595449780642,0.0,0.0,0.13185463720244261,1,False,False,True
0,3,0.5680785805800365,0.25,0.0,0.12074460953402483,1,False,False,True
0,3,0.42831075047559886,0.0,0.0,0.12029972087807612,1,False,False,True
1,3,0.3196024381721474,0.0,0.0,0.11655473349341199,0,False,False,True
1,3,,0.0,0.0,0.11845922260278147,1,False,False,True
0,3,0.5836083394805296,0.0,0.0,0.12029972087807612,1,False,False,True
1,3,,0.125,0.0,0.36794729593018294,0,False,True,False
0,1,0.7233761695849672,0.0,0.0,0.7922674694977024,1,False,False,True
0,3,0.21865900531894242,0.125,0.0,0.22022293187718633,0,True,False,False
0,3,0.33513219707264047,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.3040726792716543,0.125,0.0,0.14969284399644087,0,False,False,True
0,3,0.2574834025701751,0.0,0.0,0.22028539911997366,0,True,False,False
0,3,0.3196024381721474,0.0,0.0,0.12074460953402483,1,False,False,True
0,3,1.0,0.0,0.0,0.11807832478090757,1,False,True,False
0,2,0.44384050937609193,0.125,0.0,0.31995417037407214,1,False,False,True
0,1,0.36619171487362656,0.0,0.16666666666666666,1.0,1,True,False,False
0,3,0.024537019062779053,0.5,0.3333333333333333,0.4765031751642431,0,False,False,True
0,2,0.3196024381721474,0.25,0.0,1.0,1,False,False,True
0,3,,0.0,0.0,0.12264909864339432,1,False,False,True
0,2,0.49819466552781766,0.125,0.0,0.4581560888802213,1,True,False,False
1,2,0.49819466552781766,0.0,0.0,0.1980668673744256,0,False,False,True
0,1,0.8320844818884187,0.0,0.16666666666666666,1.0,1,False,False,True
1,3,0.17983460806770973,0.125,0.0,0.17127756176639078,1,True,False,False
0,3,,0.0,0.0,0.11807832478090757,1,False,True,False
1,3,0.36619171487362656,0.0,0.0,0.10881031897907195,1,False,False,True
1,3,,0.125,0.16666666666666666,0.3406491108321246,0,True,False,False
0,3,0.692316651783981,0.0,0.0,0.10627049230281681,1,False,False,True
0,3,0.5059595449780642,0.0,0.0,0.12029972087807612,1,True,False,False
0,3,0.3040726792716543,0.0,0.0,0.10741318576843849,1,False,False,True
0,3,0.7233761695849672,0.125,0.0,0.22092073668685933,0,False,False,True
1,2,0.44384050937609193,0.125,0.0,0.3961337347488512,0,False,False,True
0,2,0.38172147377411964,0.0,0.0,0.1980668673744256,1,False,False,True
0,2,0.35066195597313354,0.0,0.0,0.2292364979340102,1,True,False,False
1,1,0.28854292037116125,0.0,0.3333333333333333,0.40045006886632617,0,False,False,True
0,1,0.5680785805800365,0.125,0.0,0.8090269736601539,1,False,False,True
0,3,0.24195364366968203,0.0,0.0,0.14042483819460524,1,False,False,True
0,1,0.36619171487362656,0.0,0.0,1.0,1,True,False,False
0,3,,0.0,0.3333333333333333,0.23228368050900136,0,True,False,False
1,3,0.33513219707264047,0.0,0.0,0.11807832478090757,0,False,False,True
1,3,0.36619171487362656,0.125,0.0,0.24148921906804965,0,False,False,True
0,3,0.28854292037116125,0.0,0.0,0.10284241190595175,1,False,True,False
0,2,0.2730131614706682,0.0,0.0,0.17521299806199186,1,False,False,True
0,2,0.28854292037116125,0.125,0.16666666666666666,0.5599197981546262,1,False,False,True
1,3,0.4127809915751058,0.0,0.0,0.11877612959058054,1,False,False,True
0,3,0.13324533136623054,0.25,0.3333333333333333,0.5237345050766061,0,False,False,True
0,2,0.56031370112979,0.0,0.3333333333333333,0.3961337347488512,1,False,False,True
0,2,0.6457273750825019,0.0,0.0,0.1980668673744256,1,False,False,True
0,2,0.7854952051869395,0.0,0.0,0.19082980875882158,1,False,False,True
1,1,0.33513219707264047,0.125,0.0,1.0,0,False,False,True
0,3,0.8553791202391583,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.6224327367317622,0.0,0.3333333333333333,0.22092073668685933,1,False,False,True
0,3,,0.0,0.0,0.1114126128981144,1,False,False,True
0,1,0.7854952051869395,0.0,0.16666666666666666,0.935168143534488,1,True,False,False
1,3,0.24195364366968203,0.0,0.0,0.1178238850358958,0,False,True,False
0,3,0.459370268276585,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,,0.0,0.0,0.13198109527930474,1,False,False,True
0,3,,1.0,0.3333333333333333,1.0,1,False,False,True
0,3,0.676786892883488,0.0,0.16666666666666666,0.24529819728678864,1,False,False,True
1,2,0.6146678572815157,0.0,0.0,0.23996562778055408,0,False,False,True
0,3,0.3972512326746127,0.0,0.0,0.11845922260278147,1,False,False,True
0,3,0.2574834025701751,0.0,0.0,0.13198109527930474,1,False,False,True
0,3,0.009007260162285981,0.5,0.16666666666666666,0.6046752922248089,1,False,False,True
1,3,0.13324533136623054,0.0,0.3333333333333333,0.31271711175846806,1,False,False,True
1,1,,0.0,0.16666666666666666,0.8379752081225699,0,False,False,True
0,3,0.692316651783981,0.125,0.6666666666666666,0.42508196921126723,0,False,False,True
0,1,,0.0,0.0,0.39499104128322954,1,False,False,True
0,3,0.42831075047559886,0.0,0.0,0.8607650866009288,1,False,False,True
0,1,0.9407927941918702,0.0,0.0,0.5104030813110199,1,False,False,True
0,3,0.05559653686376519,0.5,0.16666666666666666,0.4437459624830881,1,False,True,False
1,3,0.009007260162285981,0.125,0.16666666666666666,0.1696259888107456,0,False,False,True
0,3,0.3196024381721474,0.0,0.0,0.12074460953402483,1,False,False,True
0,1,0.8631439996894048,0.0,0.0,0.4676785344270687,1,True,False,False
0,3,0.2730131614706682,0.125,0.16666666666666666,0.11966590690247796,1,False,False,True
0,3,,0.375,0.16666666666666666,0.3880084224126373,1,False,False,True
0,1,0.7699654462864464,0.0,0.0,0.4374611484221688,0,True,False,False
0,2,0.459370268276585,0.0,0.0,0.1980668673744256,1,False,False,True
0,3,0.5525488216795434,0.0,0.0,0.0,1,False,False,True
0,3,,1.0,0.3333333333333333,1.0,0,False,False,True
0,2,,0.0,0.0,0.22930048876808504,1,True,False,False
0,3,0.13324533136623054,0.5,0.3333333333333333,0.47821721536267564,1,False,False,True
1,2,0.009007260162285981,0.25,0.16666666666666666,0.5942006021232767,1,False,False,True
1,3,0.05559653686376519,0.0,0.3333333333333333,0.33557098107090183,0,False,False,True
0,1,,0.0,0.0,0.7617956437477907,1,False,False,True
1,3,,0.125,0.0,0.23615664956181515,0,False,True,False
1,1,0.692316651783981,0.0,0.0,0.40451348683007693,1,False,False,True
0,3,0.6146678572815157,0.125,0.16666666666666666,0.23615664956181515,1,False,True,False
0,3,0.5525488216795434,0.0,0.0,0.12029972087807612,1,False,False,True
1,2,0.49042978607757115,0.0,0.0,0.1980668673744256,0,False,False,True
0,2,0.28854292037116125,0.0,0.0,0.1980668673744256,1,False,False,True
1,3,0.28854292037116125,0.125,0.0,0.11966590690247796,0,False,False,True
1,2,0.04006677796327212,0.125,0.16666666666666666,0.3961337347488512,1,False,False,True
1,1,0.676786892883488,0.0,0.0,0.42235169362407515,0,True,False,False
1,1,0.894203517490391,0.0,0.0,1.0,0,True,False,False
0,3,,0.0,0.0,0.11807832478090757,1,False,True,False
0,3,0.6457273750825019,0.0,0.16666666666666666,0.12804565898370365,1,False,False,True
1,3,,0.0,0.0,0.11807832478090757,0,False,True,False
0,2,0.36619171487362656,0.0,0.0,0.1980668673744256,0,False,False,True
0,3,0.42831075047559886,0.0,0.0,0.14474117231208025,1,False,False,True
0,3,,1.0,0.3333333333333333,1.0,1,False,False,True
0,3,0.5214893038785573,0.0,0.0,0.09896944285313798,1,False,False,True
0,3,0.7000815312342276,0.0,0.0,0.11007947052155576,1,True,False,False
1,3,0.2730131614706682,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,0.024537019062779053,0.0,0.16666666666666666,0.15940573845422523,0,False,False,True
0,3,0.49042978607757115,0.125,0.0,0.24148921906804965,1,False,False,True
1,3,0.3972512326746127,0.0,0.0,0.2862447131382324,1,True,False,False
1,3,0.24195364366968203,0.0,0.0,0.11807832478090757,0,False,True,False
1,1,0.6146678572815157,0.0,0.0,0.4723132991236303,1,True,False,False
0,3,0.36619171487362656,0.0,0.0,0.10741318576843849,1,False,False,True
1,2,0.5370190627790503,0.0,0.0,0.31995417037407214,0,False,False,True
0,3,0.33513219707264047,0.0,0.0,0.11046036834342966,1,False,False,True
0,2,0.459370268276585,0.0,0.0,0.1980668673744256,1,False,False,True
0,3,,0.125,0.0,0.11807832478090757,1,False,True,False
1,1,0.4749000271770781,0.125,0.0,1.0,0,True,False,False
1,3,0.4127809915751058,0.0,0.0,0.12074460953402483,0,False,False,True
0,2,0.6457273750825019,0.125,0.0,0.411369647623807,1,False,False,True
1,1,0.49042978607757115,0.0,0.0,1.0,0,True,False,False
0,2,0.459370268276585,0.0,0.0,0.15997708518703607,1,False,False,True
1,3,0.24195364366968203,0.0,0.0,0.12264909864339432,1,False,False,True
0,2,0.4127809915751058,0.0,0.0,0.1980668673744256,1,False,False,True
0,3,0.7854952051869395,0.0,0.0,0.12264909864339432,1,False,False,True
0,3,,0.0,0.0,0.12029972087807612,1,False,False,True
1,1,0.5836083394805296,0.125,0.0,1.0,1,False,False,True
0,3,0.33513219707264047,0.0,0.0,0.14245578538083686,1,False,False,True
1,2,0.28854292037116125,0.0,0.0,0.15997708518703607,1,False,False,True
0,3,0.31183755872190083,0.0,0.0,0.11046036834342966,1,False,False,True
0,2,0.2730131614706682,0.0,0.0,0.1980668673744256,1,False,False,True
0,3,,0.375,0.16666666666666666,0.3880084224126373,0,False,False,True
1,1,0.5370190627790503,0.125,0.0,1.0,0,False,False,True
0,3,0.44384050937609193,0.0,0.0,0.11845922260278147,1,False,False,True
0,2,0.9097332763908841,0.0,0.0,0.2056848238119035,1,False,False,True
1,3,0.07112629576425826,0.5,0.3333333333333333,0.47821721536267564,0,False,False,True
0,2,0.36619171487362656,0.0,0.0,0.15997708518703607,1,False,False,True
0,3,,0.0,0.0,0.1150311422059164,0,False,False,True
0,2,0.676786892883488,0.125,0.0,0.3961337347488512,1,False,False,True
1,2,0.11771557246573747,0.0,0.3333333333333333,0.39994271296759015,0,False,False,True
0,2,0.28854292037116125,0.0,0.0,0.15997708518703607,1,False,False,True
0,2,0.5059595449780642,0.0,0.0,0.18702083054008264,1,False,False,True
0,3,,0.125,0.0,0.22022293187718633,0,True,False,False
1,3,,0.125,0.0,0.23615664956181515,0,False,True,False
0,2,0.44384050937609193,0.0,0.0,0.15997708518703607,1,False,False,True
0,3,0.33513219707264047,0.0,0.0,0.10855587923406018,1,False,False,True
0,3,0.459370268276585,0.0,0.0,0.11007947052155576,1,True,False,False
0,1,0.676786892883488,0.25,0.0,1.0,1,False,True,False
0,3,0.38172147377411964,0.0,0.0,0.11845922260278147,0,False,False,True
1,2,0.36619171487362656,0.0,0.3333333333333333,0.22092073668685933,0,False,False,True
1,1,0.5680785805800365,0.125,0.16666666666666666,0.8007112124130029,1,False,False,True
0,2,0.8320844818884187,0.125,0.0,0.3961337347488512,1,False,False,True
0,3,,0.0,0.0,0.11046036834342966,1,False,False,True
0,3,0.44384050937609193,0.125,0.16666666666666666,0.15940573845422523,0,False,False,True
0,1,0.9563225530923632,0.0,0.0,0.40451348683007693,1,False,False,True
0,3,0.459370268276585,0.125,0.0,0.24529819728678864,1,False,False,True
0,3,0.6301976161820088,0.0,0.3333333333333333,0.3079558889850444,0,False,False,True
1,3,0.44384050937609193,0.0,0.3333333333333333,0.23228368050900136,0,True,False,False
1,1,,0.0,0.0,1.0,0,True,False,False
1,1,0.459370268276585,0.0,0.0,1.0,0,False,False,True
1,1,0.5370190627790503,0.0,0.0,1.0,0,True,False,False
1,2,0.7699654462864464,0.0,0.16666666666666666,0.3961337347488512,0,False,False,True
0,3,,0.0,0.0,0.11807832478090757,1,False,True,False
1,3,0.04006677796327212,0.5,0.3333333333333333,0.47821721536267564,1,False,False,True
0,1,0.8010249640874325,0.125,0.16666666666666666,1.0,1,False,False,True
0,1,0.6146678572815157,0.0,0.0,0.0,1,False,False,True
0,3,,0.0,0.0,0.11807832478090757,0,False,True,False
0,2,0.5525488216795434,0.0,0.0,0.15997708518703607,1,False,False,True
0,3,0.24195364366968203,0.5,0.16666666666666666,0.6046752922248089,1,False,False,True
1,3,0.38172147377411964,0.125,0.0,0.11845922260278147,1,False,False,True
1,1,0.894203517490391,0.0,0.16666666666666666,1.0,0,False,False,True
1,1,0.5370190627790503,0.0,0.0,1.0,0,False,False,True
0,1,,0.0,0.0,0.4723132991236303,1,False,False,True
1,3,0.38172147377411964,0.0,0.0,0.0,1,False,False,True
1,2,0.6301976161820088,0.0,0.16666666666666666,0.29710030106163837,0,False,False,True
0,1,0.5680785805800365,0.0,0.16666666666666666,0.4525066123861877,1,True,False,False
